1991 census - small area statistics,,,,
ONS Crown Copyright Reserved [from Nomis on 6 May 2026],,,,
,,,,
date,1991,,,
,,,,
1991 frozen ward,S01:1 (Present residents : Total persons ),S01:8 (Absent residents (part of household present) : Total persons ),S01:15 (Absent residents (wholly absent household - enumerated) : Total persons ),S01:22 (Absent residents (wholly absent household - imputed) : Total persons )
22UBFP Wickford South,"11,494",134,139,94
22UCFA Black Notley,"2,987",50,25,7
22UCFB Bocking North,"5,305",60,92,20
22UCFC Bocking South,"5,551",92,54,39
22UCFD Braintree Central,"6,144",65,69,38
22UCFE Braintree East,"7,413",74,106,38
22UCFF Braintree West,"5,877",100,95,49
22UCFG Bumpstead,"2,114",48,40,23
22UCFH Castle Hedingham,"1,593",52,26,26
22UCFJ Coggeshall,"4,979",114,91,36
22UCFK Colne Engaine and Greenstead Green,"1,451",29,14,12
22UCFL Cressing,"1,496",34,8,15
22UCFM Earls Colne,"3,652",56,51,10
22UCFN Gosfield,"1,253",33,14,2
22UCFP Halstead St.Andrews,"4,588",83,41,38
22UCFQ Halstead Trinity,"4,925",43,36,21
22UCFR Hatfield Peverel,"4,239",79,56,9
22UCFS Kelvedon,"4,715",95,48,25
22UCFT Panfield,"1,614",52,22,22
22UCFU Rayne,"2,480",69,41,24
22UCFW Sible Hedingham,"3,405",71,34,19
22UCFX Stour Valley Central,"1,497",42,26,7
22UCFY Stour Valley North,"1,325",47,25,17
22UCFZ Stour Valley South,"1,889",60,25,7
22UCGA Terling,"1,466",35,18,10
22UCGB Three Fields,"3,309",119,59,22
22UCGC Upper Colne,"1,585",52,19,9
22UCGD Witham Central,"2,534",62,37,16
22UCGE Witham Chipping Hill,"4,369",46,51,25
22UCGF Witham North,"5,077",38,44,34
22UCGG Witham Silver End and Rivenhall,"4,091",46,34,17
22UCGH Witham South,"6,087",88,95,23
22UCGJ Witham West,"3,939",54,47,18
22UCGK Yeldham,"1,756",39,21,9
22UDFA Blackmore,"1,123",30,6,11
22UDFB Brentwood North,"5,726",98,99,35
22UDFC Brentwood South,"4,828",94,93,45
22UDFD Brentwood West,"4,665",123,89,93
22UDFE Brizes and Doddinghurst,"6,386",119,71,35
22UDFF Herongate and Ingrave,"1,990",60,43,22
22UDFG Hook End and Wyatts Green,"2,023",35,22,22
22UDFH Hutton East,"4,419",84,52,41
22UDFJ Hutton North,"4,014",53,63,28
22UDFK Hutton South,"6,202",210,169,63
22UDFL Ingatestone and Fryerning,"4,518",163,101,33
22UDFM Mountnessing,"1,153",14,13,7
22UDFN Pilgrims Hatch,"6,479",99,57,43
22UDFP Shenfield,"5,140",191,102,9
22UDFQ South Weald,"1,324",19,33,12
22UDFR Warley,"6,066",112,95,64
22UDFS West Horndon,"1,312",23,28,3
22UEFA Appleton,"6,525",135,63,95
22UEFB Boyce,"5,866",132,97,42
22UEFC Canvey Island Central,"5,409",48,36,67
22UEFD Canvey Island East,"6,646",77,57,106
22UEFE Canvey Island North,"6,931",68,60,82
22UEFF Canvey Island South,"4,353",54,29,78
22UEFG Canvey Island West,"4,981",55,47,47
