Table 5.11 List of major power producer power stations in the United Kingdom operational at the end of May 2024 [note 1],,,,,,,,,,,,,,,
This worksheet contains one table,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet, to turn off freeze panes select the 'view' then 'freeze panes' then 'unfreeze panes' or use [Alt W, F]   ",,,,,,,,,,,,,,,
"This table contains empty cells, empty cells indicate data not applicable",,,,,,,,,,,,,,,
Company Name [note 30],Site Name,Technology,Type,CHP,Primary Fuel,Secondary Fuel, InstalledCapacity (MW),Grid Connection Type,Country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned
Anesco,Nancrossa,Solar,PV,No,Solar,,  6.9 ,LV,England,South West,TR10 9EA,,,,2016
Anesco,Tump Farm,Solar,PV,No,Solar,,  5.0 ,LV,England,South West,NP16 7HN,,,,2017
Anesco,Lincoln Farm,Solar,PV,No,Solar,,  10.7 ,LV,England,East Midlands,PE24 5AT,,,,2016
Anesco,Parcstormy,Solar,PV,No,Solar,,  0.7 ,HV,Wales,Wales,CF33 4RS,,,,2016
Anesco,Swanland,Solar,PV,No,Solar,,  5.0 ,LV,England,London,EN6 3NH,,,,2017
Anesco,Bedford,Solar,PV,No,Solar,,  69.8 ,HV,England,East Midlands,MK44 3SD,,,,2015
Anesco,Dragon LNG,Solar,PV,No,Solar,,  10.0 ,,Wales,Wales,SA73 1DR,,,,2022
Anesco,West Field,Solar,PV,No,Solar,,  4.9 ,,England,North West,PR3 0PU,,,,2016
Anesco,Whilton,Solar,PV,No,Solar,,  0.4 ,LV,England,East Midlands,NN11 2NH,,,,2016
Anesco,Littlewood,Solar,PV,No,Solar,,  5.0 ,,England,North West,NG19 8JA,,,,2017
Anesco,Ilmer,Solar,PV,No,Solar,,  5.0 ,,England,East Midlands,HP27 9RE,,,,2016
Anesco,West Hill,Solar,PV,No,Solar,,  50.0 ,,England,South West,EX34 8NF,,,,2022
Anesco,Majors Hill,Solar,PV,No,Solar,,  5.0 ,,England,South East,RH10 4PE,,,,2016
Anesco,Malmpit,Solar,PV,No,Solar,,  5.0 ,,England,South West,BA12 0LZ,,,,2016
Atmosclear,Broadgate,Solar,PV,No,Solar,,  1.1 ,LV,England,South West,,,277641.0,107308.0,2012
Atmosclear,Barton,Solar,PV,No,Solar,,  1.2 ,LV,England,South West,,,307778.0,117118.0,2012
Atmosclear,Higher Pirzwell,Solar,PV,No,Solar,,  1.2 ,LV,England,South West,,,307546.0,109156.0,2012
Atmosclear,Stables Farm,Solar,PV,No,Solar,,  1.0 ,LV,England,South East,,,440920.0,88770.0,2012
Atmosclear,Yeowood,Solar,PV,No,Solar,,  1.2 ,LV,England,South West,,,344385.0,162232.0,2012
Atmosclear,Kia-Ora Farm,Solar,PV,No,Solar,,  1.8 ,LV,England,South West,,,300975.0,107058.0,2013
Atmosclear,Luson,Solar,PV,No,Solar,,  1.9 ,LV,England,South West,,,262016.0,53112.0,2013
Atmosclear,Long Ash Lane Solar Park ,Solar,PV,No,Solar,,  5.0 ,LV,England,South West,,,360928.0,102540.0,2017
Babcock International and Fluor Inc,Maentwrog,Hydro,Natural Flow,No,Hydro,,  35.3 ,HV,Wales,Wales,LL414HY,,267297.81261199998,337806.87196800002,1928
BayWa R.E,Tir Mostyn & Foel Goch Ltd,Wind,Onshore,No,Wind,,  21.3 ,HV,Wales,Wales,LL165RN,,300300.0,358800.0,2005
BayWa R.E,Scout Moor Wind Farm Ltd,Wind,Onshore,No,Wind,,  65.0 ,HV,England,North West,OL127TY,,382400.0,419200.0,2008
BayWa R.E,Bagmoor Wind Ltd,Wind,Onshore,No,Wind,,  16.0 ,HV,England,Yorkshire and the Humber,DN159GH,,488240.0,415400.0,2009
Bluefield Services,Bradenstoke Solar Park Ltd,Solar,PV,No,Solar,,  69.8 ,LV,England,South West,SN154PZ,,402315.0,178635.0,2015
Calon Energy,Severn Power Ltd,Fossil Fuel,CCGT,No,Natural Gas,,  850.0 ,LV,England,0,,,333250.0,185006.0,2010
Capital Dynamics UK,Rymes,Solar,PV,No,Solar,,  5.0 ,LV,England,West Midlands,GL19 3AJ,,,,2017
Capital Dynamics UK,Ysgellog,Wind,Onshore,No,Wind,,  4.6 ,LV,Wales,Wales,LL060AW,,240490.0,391238.0,2013
Capital Dynamics UK,Garlenick,Wind,Onshore,No,Wind,,  4.0 ,LV,England,South West,TR24RQ,,194662.0,49203.0,2014
Capital Dynamics UK,Daintree,Wind,Onshore,No,Wind,,  4.0 ,LV,England,East Midlands,NN67GW,,457545.0,272243.0,2014
Capital Dynamics UK,Wythegill,Wind,Onshore,No,Wind,,  1.5 ,HV,England,North West,,NY0121131657,301881.0,532072.0,2015
Capital Dynamics UK,East Youlstone,Wind,Onshore,No,Wind,,  4.0 ,LV,England,South West,EX239PU,,227610.0,115654.0,2015
Capital Dynamics UK,Mossmorran,Wind,Onshore,No,Wind,,  4.6 ,HV,Scotland,Scotland,,NT1793489429,318109.0,689419.0,2016
Capital Dynamics UK,Watford Lodge ,Wind,Onshore,No,Wind,,  10.3 ,LV,England,East Midlands,NN6 7UN,,,,2015
Capital Dynamics UK,Seegronan,Wind,Onshore,No,Wind,,  13.8 ,LV,Northern Ireland,Northern Ireland,BT81 7HQ,,,,2016
