Facility ID",Height class (1-5),Longitude,Latitude,NOx (as NO2),NMVOC,SOx (as SO2),NH3,PM2.5,PM10,CO,Pb,Cd,Hg,PCDD/ PCDF (dioxins/ furans),PAHs,HCB,PCBs
,,,,deg,deg,kt,kt,kt,kt,kt,kt,kt,t,t,t,g I-Teq,t,kg,kg
11745_Saddlebow Paper Mill,B_Industry,,1,0.3888335513,52.72817787,0.1554395554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11750_East Leake Gypsum Works,B_Industry,,2,-1.177321477,52.84741674,0.1255651415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11993_Milford Haven,B_Industry,,1,-4.988101253,51.7111754,0.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12088_Wyke Chemical Works,B_Industry,,1,-1.753745022,53.74083916,0.1521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12105_Teeside Polyethylene Plant,B_Industry,,2,-1.103965672,54.58987259,NA,0.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12898_Alba Northern,B_Industry,,2,1.078264544,58.06918117,0.235076008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12903_Andrew,B_Industry,,2,1.406234115,58.0479182,0.225007375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12907_Armada,B_Industry,,2,1.852527949,57.91978644,0.310722076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12917_Triton FPSO,B_Industry,,1,0.800410427,57.18722377,0.466271042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12919_Bleo Holm FPSO,B_Industry,,1,-1.373520916,58.09663874,0.636668668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12926_Brent C,B_Industry,,2,1.693540663,61.09887457,0.223098182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12929_Britannia,B_Industry,,2,0.8412208607,58.08227674,0.803522591,NA,NA,NA,NA,NA,0.651654576,NA,NA,NA,NA,NA,NA,NA
12932_Buzzard,B_Industry,,2,-0.978270365,57.8045515,1.192638291,NA,NA,NA,NA,NA,0.964136985,NA,NA,NA,NA,NA,NA,NA
12939_Clair,B_Industry,,2,-2.553458506,60.68435896,0.330625085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12940_Claymore,B_Industry,,2,-0.2717132695,58.4379393,0.715055429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12942_Clyde,B_Industry,,2,2.293606324,56.46137568,0.287716481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12945_Cormorant North,B_Industry,,2,1.164116565,61.21500534,0.365559149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12957_Elgin PUQ,B_Industry,,2,1.839940824,57.01215076,1.096050559,NA,NA,NA,NA,NA,0.842554054,NA,NA,NA,NA,NA,NA,NA
12960_Marnock ETAP,B_Industry,,2,1.698854367,57.29266159,0.654402765,NA,NA,NA,NA,NA,0.534072966,NA,NA,NA,NA,NA,NA,NA
12966_Forties Alpha,B_Industry,,2,0.9746814667,57.73058851,0.314160259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12968_Forties Charlie,B_Industry,,2,0.9746814667,57.73058851,0.129337189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12975_Gannet,B_Industry,,2,1.004888848,57.177037,0.438349412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12978_Gryphon,B_Industry,,2,1.539933699,59.35539565,0.526281177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12980_Pierce FPSO,B_Industry,,1,2.261298795,57.14615718,0.986908526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12981_Halley,B_Industry,,2,2.285688414,56.5301195,0.108168212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12982_Harding,B_Industry,,2,1.523554366,59.2882673,0.170632018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12983_Heather,B_Industry,,2,0.9395962733,60.95374793,0.190843649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
